genres,title,authors,rating,reviews,description,pages
"['Nonfiction', 'Language']",On Writing: A Memoir of the Craft,['Stephen King'],4.31,249700,"""Long live the King"" hailed Entertainment Weekly upon the publication of Stephen King's On Writing. Part memoir, part master class by one of the bestselling authors of all time, this superb volume is a revealing and practical view of the writer's craft, comprising the basic tools of the trade every writer must have. King's advice is grounded in his vivid memories from chil",320
"['Fiction', 'Classics']",Pale Fire,['Vladimir Nabokov'],4.09,47706,"The American poet John Shade is dead. His last poem, 'Pale Fire', is put into a book, together with a preface, a lengthy commentary and notes by Shade's editor, Charles Kinbote. Known on campus as the 'Great Beaver', Kinbote is haughty, inquisitive, intolerant, but is he also mad, bad - and even dangerous? As his wildly eccentric annotations slide into the personal and the",246
"['Young Adult', 'Fantasy']",The Awakening,['Kelley Armstrong'],4.12,116365,"If you had met me a few weeks ago, you probably would have described me as an average teenage girl - someone normal. Now my life has changed forever and I’m as far away from normal as it gets. A living science experiment - not only can I see ghosts, but I was genetically altered by a sinister organization called Edison Group. What does that mean? For starters. I'm a teenag",360
"['Fiction', 'Historical']",Where the Crawdads Sing,['Delia Owens'],4.46,1444714,"For years, rumors of the “Marsh Girl” haunted Barkley Cove, a quiet fishing village. Kya Clark is barefoot and wild; unfit for polite society. So in late 1969, when the popular Chase Andrews is found dead, locals immediately suspect her.But Kya is not what they say. A born naturalist with just one day of school, she takes life's lessons from the land, learning the real way",384
"['Fantasy', 'Fiction']",Circe,['Madeline Miller'],4.26,545268,"In the house of Helios, god of the sun and mightiest of the Titans, a daughter is born. But Circe is a strange child - not powerful, like her father, nor viciously alluring like her mother. Turning to the world of mortals for companionship, she discovers that she does possess power - the power of witchcraft, which can transform rivals into monsters and menace the gods them",393
"['Nonfiction', 'Autobiography']",Gift from the Sea,['Anne Morrow Lindbergh'],4.14,45999,"In this inimitable, beloved classic—graceful, lucid and lyrical—Anne Morrow Lindbergh shares her meditations on youth and age; love and marriage; peace, solitude and contentment as she set them down during a brief vacation by the sea. Drawing inspiration from the shells on the shore, Lindbergh’s musings on the shape of a woman’s life bring new understanding to both men and",130
"['Romance', 'New Adult']",Walking Disaster,['Jamie McGuire'],4.19,177610,"How much is too much to love? Travis Maddox learned two things from his mother before she died: Love hard. Fight harder.Finally, the highly anticipated follow-up to the New York Times bestseller Beautiful Disaster.Can you love someone too much?Travis Maddox learned two things from his mother before she died: Love hard. Fight harder.In Walking Disaster, the life of Travis i",448
"['Classics', 'Fiction']",Ethan Frome,['Edith Wharton'],3.43,118725,"The classic novel of despair, forbidden emotions, and sexual undercurrents set against the austere New England countrysideEthan Frome works his unproductive farm and struggles to maintain a bearable existence with his difficult, suspicious and hypochondriac wife, Zeena. But when Zeena's vivacious cousin enters their household as a hired girl, Ethan finds himself obsessed w",99
"['Fiction', 'Humor']",Forrest Gump,['Winston Groom'],4.05,62533,"Meet Forrest Gump, the lovable, hurculean, and surprisingly savy hero of this remarkable comic odyssey. After accidentally becoming the star of Univerity of Alabama's football team, Forrest goes on to become a Vietnam War hero, a worl-class Ping-Pong player, a villainous wrestler, and a business tycoon -- as he wonders with cildlike wisdome at the insanity all around him.",248
"['Historical', 'Historical Fiction']",Exodus,['Leon Uris'],4.33,95457,"Exodus is an international publishing phenomenon--the towering novel of the twentieth century's most dramatic geopolitical event. Leon Uris magnificently portrays the birth of a new nation in the midst of enemies--the beginning of an earthshaking struggle for power. Here is the tale that swept the world with its fury: the story of an American nurse, an Israeli freedom figh",608
"['Fiction', 'Historical']",Cold Sassy Tree,['Olive Ann Burns'],4.01,99598,"The one thing you can depend on in Cold Sassy, Georgia, is that word gets around--fast.On July 5, 1906, scandal breaks in the small town of Cold Sassy, Georgia, when the proprietor of the general store, E. Rucker Blakeslee, elopes with Miss Love Simpson. He is barely three weeks a widower, and she is only half his age and a Yankee to boot. As their marriage inspires a whir",405
"['Science Fiction', 'Fiction']",The Restaurant at the End of the Universe,['Douglas Adams'],4.20,253273,"alternate edition for ISBN 0345418921/9780345418920Facing annihilation at the hands of the warlike Vogons is a curious time to have a cosmically displaced Arthur Dent and his curious comrades in arms as they hurtle through space powered by pure improbability - and desperately in search of a place to eat. Among Arthur's motley shipmates are Ford Prefect, a long-time friend",250
"['Young Adult', 'Fantasy']",The Reckoning,['Kelley Armstrong'],4.14,121032,"Chloe Saunders is fifteen and would love to be normal. Unfortunately, Chloe happens to be a genetically engineered necromancer who can raise the dead without even trying. She and her equally gifted (or should that be 'cursed'?) friends are now running for their lives from the evil corporation that created them.As if that's not enough, Chloe is struggling with her feelings",391
"['Fantasy', 'Young Adult']",An Ember in the Ashes,['Sabaa Tahir'],4.25,231888,"▶ 
Alternative Cover Edition #1
Laia is a slave. Elias is a soldier. Neither is free.   Under the Martial Empire, defiance is met with death. Those who do not vow their blood and bodies to the Emperor risk the execution of their loved ones and the destruction of all they hold dear.   It is in this brutal world, inspired by ancient Rome, that Laia lives with her grandpare",446
"['Fantasy', 'Fiction']",The Dark Tower,"['Stephen King', 'Michael Whelan', '(Illustrator)']",4.23,162771,"The seventh and final installment of Stephen King's The Dark Tower saga is perhaps the most anticipated book in the author's long career. King began this epic tale about the last gunslinger in the world more than 20 years ago; now he draws its suspenseful story to a close, snapping together the last pieces of his action puzzle and drawing Roland Deschain ever closer to his",1050
"['Self Help', 'Nonfiction']",The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,"['Stephen R. Covey', 'Jim Collins', '(Foreward, Contributor)']",4.13,608775,"When Stephen Covey first released The Seven Habits of Highly Effective People, the book became an instant rage because people suddenly got up and took notice that their lives were headed off in the wrong direction; and more than that, they realized that there were so many simple things they could do in order to navigate their life correctly. This book was wonderful educati",372
"['Nonfiction', 'History']",Wild Swans: Three Daughters of China,['Jung Chang'],4.23,104753,"The story of three generations in twentieth-century China that blends the intimacy of memoir and the panoramic sweep of eyewitness history—a bestselling classic in thirty languages with more than ten million copies sold around the world, now with a new introduction from the author.An engrossing record of Mao’s impact on China, an unusual window on the female experience in",562
"['Mystery', 'Fiction']",Dark Places,['Gillian Flynn'],3.93,648687,"From The #1 New York Times Bestselling Author Of Gone GirlLibby Day was seven when her mother and two sisters were murdered in “The Satan Sacrifice"" of Kinnakee, Kansas. She survived—and famously testified that her fifteen-year-old brother, Ben, was the killer. Twenty-five years later, the Kill Club—a secret secret society obsessed with notorious crimes—locates Libby and p",349
"['Fiction', 'Philosophy']",گم شده ای در مه,['سید مرتضی مصطفوی'],4.01,868,Philosophical story about human loneliness in two different worldsBody world The spirit worldThis story is inspired by the high worldچند جوان در جاده ای مه آلود مسیر خود را گم می کنند در حالی که مرگ آنها را تهدید می کند بوسیله اتومبیلی شگفت انگیز نجات پیدا می کنند اتومبیل آنها را وارد جاده بی انتهایی می کند که فرا زمان و فرا مکانی است و در اینمسیر توقفگاه های بسیاری است ات,82
"['Mystery', 'Fiction']",The Murder of Roger Ackroyd,['Agatha Christie'],4.24,191198,"Considered to be one of Agatha Christie's most controversial mysteries, The Murder Of Roger Ackroyd breaks the rules of traditional mystery. The peaceful English village of King’s Abbot is stunned. The widow Ferrars dies from an overdose of veronal. Not twenty-four hours later, Roger Ackroyd—the man she had planned to marry—is murdered. It is a baffling case involving blac",288
"['Fiction', 'Animals']",The Story of Edgar Sawtelle,['David Wroblewski'],3.62,99790,"Born mute, speaking only in sign, Edgar Sawtelle leads an idyllic life with his parents on their farm in remote northern Wisconsin. For generations, the Sawtelles have raised and trained a fictional breed of dog whose thoughtful companionship is epitomized by Almondine, Edgar's lifelong friend and ally. But with the unexpected return of Claude, Edgar's paternal uncle, turm",566
"['Fantasy', 'Paranormal']",Dead as a Doornail,['Charlaine Harris'],3.98,219939,"Small-town cocktail waitress Sookie Stackhouse has had more than her share of experience with the supernatural—but now it’s really hitting close to home. When Sookie sees her brother Jason’s eyes start to change, she knows he’s about to turn into a were-panther for the first time—a transformation he embraces more readily than most shapeshifters she knows. But her concern b",295
"['Fantasy', 'Urban Fantasy']",Dreamfever,['Karen Marie Moning'],4.37,97518,"MacKayla Lane lies naked on the cold stone floor of a church, at the mercy of the erotic Fae master she once swore to kill. Far from home, unable to control her sexual hungers, MacKayla is now fully under the Lord Master’s spell.…In New York Times bestselling author Karen Marie Moning’s stunning new novel, the walls between human and Fae worlds have come crashing down. And",386
"['Fiction', 'Historical']",The Forgotten Garden,['Kate Morton'],4.12,208479,"A foundling, an old book of dark fairy tales, a secret garden, an aristocratic family, a love denied, and a mystery. The Forgotten Garden is a captivating, atmospheric and compulsively readable story of the past, secrets, family and memory from the international best-selling author Kate Morton.Cassandra is lost, alone and grieving. Her much loved grandmother, Nell, has jus",648
"['Fiction', 'Romance']",The Bridges of Madison County,['Robert James Waller'],3.64,87824,"The story of Robert Kincaid, the photographer and free spirit searching for the covered bridges of Madison County, and Francesca Johnson, the farm wife waiting for the fulfillment of a girlhood dream, THE BRIDGES OF MADISON COUNTY gives voice to the longings of men and women everywhere-and shows us what it is to love and be loved so intensely that life is never the same ag",224
"['Romance', 'Romance']",Gabriel's Inferno,['Sylvain Reynard'],4.00,151515,"Enigmatic and sexy, Professor Gabriel Emerson is a well respected Dante specialist by day, but by night he devotes himself to an uninhibited life of pleasure. He uses his notorious good looks and sophisticated charm to gratify his every whim, but is secretly tortured by his dark past and consumed by the profound belief that he is beyond all hope of redemption.When the swee",506
"['Fiction', 'Philosophy']",Illusions: The Adventures of a Reluctant Messiah,['Richard Bach'],4.13,60426,"In the cloud-washed airspace between the cornfields of Illinois and blue infinity, a man puts his faith in the propeller of his biplane. For disillusioned writer and itinerant barnstormer Richard Bach, belief is as real as a full tank of gas and sparks firing in the cylinders...until he meets Donald Shimoda — former mechanic and self-described messiah who can make wrenches",144
"['Young Adult', 'Science Fiction']",Specials,['Scott Westerfeld'],3.76,181166,"""Special Circumstances"": The words have sent chills down Tally's spine since her days as a repellent, rebellious ugly. Back then Specials were a sinister rumor -- frighteningly beautiful, dangerously strong, breathtakingly fast. Ordinary pretties might live their whole lives without meeting a Special. But Tally's never been ordinary.And now she's been turned into one of th",384
"['Fiction', 'Fantasy']",The Gargoyle,['Andrew Davidson'],3.92,49555,"The narrator of The Gargoyle is a very contemporary cynic, physically beautiful and sexually adept, who dwells in the moral vacuum that is modern life. As the book opens, he is driving along a dark road when he is distracted by what seems to be a flight of arrows. He crashes into a ravine and suffers horrible burns over much of his body. As he recovers in a burn ward, unde",468
"['Classics', 'Fiction']",The House of Mirth,"['Edith Wharton', 'Nina Bawden', '(Introduction)']",3.95,90581,"First published in 1905, The House of Mirth shocked the New York society it so deftly chronicles, portraying the moral, social and economic restraints on a woman who dared to claim the privileges of marriage without assuming the responsibilities.Lily Bart, beautiful, witty and sophisticated, is accepted by 'old money' and courted by the growing tribe of nouveaux riches. Bu",351
"['Fiction', 'Thriller']",Requiem for a Dream,"['Hubert Selby Jr.', 'Darren Aronofsky', '(Foreword)', 'Richard Price', '(Foreword)']",4.06,64877,"In Coney Island, Brooklyn, Sarah Goldfarb, a lonely widow, wants nothing more than to lose weight and appear on a television game show. She becomes addicted to diet pills in her obsessive quest, while her junkie son, Harry, along with his girlfriend, Marion, and his best friend, Tyrone, have devised an illicit shortcut to wealth and leisure by scoring a pound of uncut hero",279
"['Classics', 'Fiction']",Orlando,['Virginia Woolf'],3.86,71265,"Virginia Woolf's Orlando 'The longest and most charming love letter in literature', playfully constructs the figure of Orlando as the fictional embodiment of Woolf's close friend and lover, Vita Sackville-West. Spanning three centuries, the novel opens as Orlando, a young nobleman in Elizabeth's England, awaits a visit from the Queen and traces his experience with first lo",252
"['Classics', 'Fiction']","Absalom, Absalom!",['William Faulkner'],3.97,40428,"Published in 1936, Absalom, Absalom! is considered by many to be William Faulkner's masterpiece. Although the novel's complex and fragmented structure poses considerable difficulty to readers, the book's literary merits place it squarely in the ranks of America's finest novels. The story concerns Thomas Sutpen, a poor man who finds wealth and then marries into a respectabl",316
"['Fantasy', 'Paranormal']",Definitely Dead,['Charlaine Harris'],3.99,203879,"Since Louisiana cocktail waitress Sookie Stackhouse has so few living relatives, she hates to lose one - even her cousin Hadley, undead consort of the vampire Queen of Louisiana. Hadley's left everything she has to Sookie, but claiming that inheritance has a high risk factor. Some people don't want her looking too deeply into Hadley's past, or Hadley's possessions. And the",324
"['Fiction', 'Contemporary']",The Hotel New Hampshire,['John Irving'],3.91,60606,"“The first of my father’s illusions was that bears could survive the life lived by human beings, and the second was that human beings could survive a life led in hotels.” So says John Berry, son of a hapless dreamer, brother to a cadre of eccentric siblings, and chronicler of the lives lived, the loves experienced, the deaths met, and the myriad strange and wonderful times",520
"['Fiction', 'Contemporary']",A Million Little Pieces,['James Frey'],3.66,240049,"Intense, unpredictable, and instantly engaging, this is a story of drug and alcohol abuse and rehabilitation as it has never been told before. It is also the introduction of a bold and talented literary voice. Before considering reading this book, please see the BookBrowse note on the book jacket/review page.BookBrowse Note: January 9th 2006: An article in the Smoking Gun",515
"['Religion', 'Christian']",Holy Bible: New International Version,['Anonymous'],4.57,70648,The New International Version is the world's most popular Bible in modern English and is renowned for its combination of accuracy and clarity of language.,1248
"['Fantasy', 'Romance']",Daughter of the Forest,['Juliet Marillier'],4.23,62726,"Lovely Sorcha is the seventh child and only daughter of Lord Colum of Sevenwaters. Bereft of a mother, she is comforted by her six brothers who love and protect her. Sorcha is the light in their lives: they are determined that she know only contentment.But Sorcha's joy is shattered when her father is bewitched by his new wife, an evil enchantress who binds her brothers wit",554
"['Fantasy', 'Urban Fantasy']",Guilty Pleasures,['Laurell K. Hamilton'],4.01,141356,"Anita Blake is small, dark, and dangerous. Her turf is the city of St. Louis. Her job: re-animating the dead and killing the undead who take things too far. But when the city’s most powerful vampire asks her to solve a series of vicious slayings, Anita must confront her greatest fear—her undeniable attraction to master vampire Jean-Claude, one of the creatures she is sworn",355
"['Young Adult', 'Paranormal']",The Golden Lily,['Richelle Mead'],4.27,119555,"Sydney Sage is an Alchemist, one of a group of humans who dabble in magic and serve to bridge the worlds of humans and vampires. Alchemists protect vampire secrets - and human lives.Sydney would love to go to college, but instead, she's been sent into hiding at a posh boarding school in Palm Springs, California - tasked with protecting Moroi princess Jill Dragomir from ass",418
"['Fiction', 'Philosophy']",The Fall,"['Albert Camus', ""Justin O'Brien"", '(Translator)', 'يارا شعاع', '(Translator)']",4.01,83963,"Jean-Baptiste Clamence, a successful Parisian barrister, has come to recognize the deep-seated hypocrisy of his existence. His epigrammatic and, above all, discomforting monologue gradually saps, then undermines, the reader's own complacency.",147
"['Fiction', 'Mystery']","The Millennium Trilogy (Millennium Trilogy, #1-3)","['Stieg Larsson', 'Reg Keeland', '(Translator)']",4.41,54151,"Stieg Larsson’s Millennium Trilogy is now available in a complete hardcover set.
The Girl with the Dragon Tattoo

Harriet Vanger, a scion of one of Sweden’s wealthiest families disappeared without a trace more than forty years ago. All these years later, her aged uncle continues to try to discover what happened to her. He hires Mikael Blomkvist, a journalist recently s",1531
"['Young Adult', 'Paranormal']",Burned,"['P.C. Cast', 'Kristin Cast']",3.95,156839,"WHEN FRIENDS STOP TRUSTING EACH OTHER, DARKNESS IS THERE TO FAN THE FLAMES...THINGS HAVE TURNED BLACK AT THE HOUSE OF NIGHT. ZOEY REDBIRD'S SOUL HAS SHATTERED. With a broken heart making her want to stay in the Otherworld forever, she's fading fast. As the only living person who can reach her, Stark must find a way to save her. But how? He will have to die to do so, the Va",323
"['Fiction', 'Humor']",Still Life with Woodpecker,['Tom Robbins'],4.00,79154,"Still Life with Woodpecker is a sort of a love story that takes place inside a pack of Camel cigarettes. It reveals the purpose of the moon, explains the difference between criminals and outlaws, examines the conflict between social activism and romantic individualism, and paints a portrait of contemporary society that includes powerful Arabs, exiled royalty, and pregnant",288
"['Fantasy', 'Paranormal']",Lover Mine,['J.R. Ward'],4.38,109312,"John Matthew has come a long way since he was found living among humans, his vampire nature unknown to himself and to those around him. After he was taken in by the Brotherhood, no one could guess what his true history was- or his true identity. Indeed, the fallen Brother Darius has returned, but with a different face and a very different destiny. As a vicious personal ven",528
"['Young Adult', 'Poetry']",Crank,['Ellen Hopkins'],4.14,134215,"In Crank, Ellen Hopkins chronicles the turbulent and often disturbing relationship between Kristina, a character based on her own daughter, and the ""monster,"" the highly addictive drug crystal meth, or ""crank."" Kristina is introduced to the drug while visiting her largely absent and ne'er-do-well father. While under the influence of the monster, Kristina discovers her sexy",537
"['Fantasy', 'Young Adult']",The Amulet of Samarkand,['Jonathan Stroud'],3.99,127085,"Nathaniel is a boy magician-in-training, sold to the government by his birth parents at the age of five and sent to live as an apprentice to a master. Powerful magicians rule Britain, and its empire, and Nathaniel is told his is the ""ultimate sacrifice"" for a ""noble destiny."" If leaving his parents and erasing his past life isn't tough enough, Nathaniel's master, Arthur Un",462
"['Contemporary', 'Drama']","Dodging Satan: My Irish/Italian, Sometimes Awesome, But Mostly Creepy, Childhood",['Kathleen Zamboni McCormick'],4.29,11181,"In this humorous coming-of-age story, Bridget Flagherty, a student at St. Michael’s Catholic school outside Boston in the 60s and 70s, takes refuge in her wacky misunderstandings of Bible Stories and Catholic beliefs to avoid the problems of her Irish/Italian family life. Her musings on sadistic nuns, domestic violence, emerging sexuality, and God the Father’s romantic lif",191
"['Nonfiction', 'Writing']","84, Charing Cross Road",['Helene Hanff'],4.10,61989,"This charming classic, first published in 1970, brings together twenty years of correspondence between Helene Hanff, a freelance writer living in New York City, and a used-book dealer in London. Through the years, though never meeting and separated both geographically and culturally, they share a winsome, sentimental friendship based on their common love for books. Their r",97
"['Fiction', 'Romance']",The Pact,['Jodi Picoult'],4.01,286430,"For eighteen years the Hartes and the Golds have lived next door to each other, sharing everything from Chinese food to chicken pox to carpool duty—they've grown so close it seems they have always been a part of each other's lives. Parents and children alike have been best friends, so it's no surprise that in high school Chris and Emily's friendship blossoms into something",512
"['Young Adult', 'Fantasy']",The City of Ember,['Jeanne DuPrau'],3.87,266169,"An alternate cover edition can be found here.Many hundreds of years ago, the city of Ember was created by the Builders to contain everything needed for human survival. It worked…but now the storerooms are almost out of food, crops are blighted, corruption is spreading through the city and worst of all—the lights are failing. Soon Ember could be engulfed by darkness…But whe",288
"['Horror', 'Fiction']",The Long Walk,"['Richard Bachman', '(Pseudonym)', 'Stephen King']",4.08,148920,"On the first day of May, 100 teenage boys meet for a race known as ""The Long Walk."" If you break the rules, you get three warnings. If you exceed your limit, what happens is absolutely terrifying.",370
"['Philosophy', 'Nonfiction']",Meditations,"['Marcus Aurelius', 'Martin Hammond', '(Translator)', 'Albert Wittstock', '(Translator)', 'عادل مصطفى', '(Translator)', 'Simone Mooij-Valk', '(Translator)', 'Diskin Clay', '(Introduction)']",4.22,158559,"Written in Greek by the only Roman emperor who was also a philosopher, without any intention of publication, the Meditations of Marcus Aurelius offer a remarkable series of challenging spiritual reflections and exercises developed as the emperor struggled to understand himself and make sense of the universe. While the Meditations were composed to provide personal consolati",303
"['Fiction', 'Classics']",Naked Lunch,"['William S. Burroughs', 'James Grauerholz', '(Editor)', 'Barry Miles', '(Editor)']",3.46,89811,"The book is structured as a series of loosely connected vignettes. Burroughs stated that the chapters are intended to be read in any order. The reader follows the narration of junkie William Lee, who takes on various aliases, from the U.S. to Mexico, eventually to Tangier and the dreamlike Interzone.The vignettes are drawn from Burroughs' own experiences in these places an",289
"['Romance', 'Fiction']",The Lucky One,['Nicholas Sparks'],4.12,339240,"When U.S. Marine Logan Thibault finds a photograph of a smiling young woman half-buried in the dirt during his third tour of duty in Iraq, his first instinct is to toss it aside. Instead, he brings it back to the base for someone to claim, but when no one does, he finds himself always carrying the photo in his pocket. Soon Thibault experiences a sudden streak of luck—winni",326
"['Fiction', 'Womens Fiction']",Where the Heart Is,['Billie Letts'],4.02,244170,"Talk about unlucky sevens. An hour ago, seventeen-year-old, seven months pregnant Novalee Nation was heading for California with her boyfriend. Now she finds herself stranded at a Wal-Mart in Sequoyah, Oklahoma, with just $7.77 in change. But Novalee is about to discover hidden treasures in this small Southwest town--a group of down-to-earth, deeply caring people willing t",376
"['Historical', 'Historical Fiction']",Christy,['Catherine Marshall'],4.22,51837,"The train taking nineteen-year-old teacher Christy Huddleston from her home in Asheville, North Carolina, might as well be transporting her to another world. The Smoky Mountain community of Cutter Gap feels suspended in time, trapped by poverty, superstitions, and century-old traditions.But as Christy struggles to find acceptance in her new home, some see her — and her one",512
"['Fiction', 'Classics']",Journey to the End of the Night,"['Louis-Ferdinand Céline', 'Ralph Manheim', '(Translator)', 'Angela Cismaş', '(Translator)', 'William T. Vollmann', '(Afterword)']",4.21,34976,"Louis-Ferdinand Celine's revulsion and anger at what he considered the idiocy and hypocrisy of society explodes from nearly every page of this novel. Filled with slang and obscenities and written in raw, colloquial language, Journey to the End of the Night is a literary symphony of violence, cruelty and obscene nihilism. This book shocked most critics when it was first pub",453
"['Fiction', 'Classics']",Sometimes a Great Notion,['Ken Kesey'],4.18,21788,"The magnificent second novel from the legendary author of One Flew Over the Cuckoo's Nest...  Following the astonishing success of his first novel, One Flew Over the Cuckoo's Nest, Ken Kesey wrote what Charles Bowden calls ""one of the few essential books written by an American in the last half century."" This wild-spirited tale tells of a bitter strike that rages through a",640
"['Young Adult', 'Science Fiction']",Pandemonium,['Lauren Oliver'],4.04,226550,"The old life is dead. But the old Lena is dead too. I buried her. I left her beyond a fence, behind a wall of smoke and ﬂame. In this electrifying follow-up to her acclaimed New York Times bestseller Delirium, Lauren Oliver sets Lena on a dangerous course that hurtles through the unregulated Wilds and into the heart of a growing resistance movement. This riveting, brillian",375
"['Nonfiction', 'Travel']",A Walk in the Woods: Rediscovering America on the Appalachian Trail,['Bill Bryson'],4.05,371825,"The Appalachian Trail stretches from Georgia to Maine and covers some of the most breathtaking terrain in America—majestic mountains, silent forests, sparking lakes. If you’re going to take a hike, it’s probably the place to go. And Bill Bryson is surely the most entertaining guide you’ll find. He introduces us to the history and ecology of the trail and to some of the oth",397
"['Young Adult', 'Fantasy']",Opal,['Jennifer L. Armentrout'],4.25,141201,"No one is like Daemon Black.When he set out to prove his feelings for me, he wasn’t fooling around. Doubting him isn’t something I’ll do again, and now that we’ve made it through the rough patches, well… There’s a lot of spontaneous combustion going on.But even he can’t protect his family from the danger of trying to free those they love.After everything, I’m no longer the",394
"['Fantasy', 'Young Adult']",Fablehaven,['Brandon Mull'],4.09,148353,"For centuries mystical creatures of all description were gathered into a hidden refuge called Fablehaven to prevent their extinction. The sanctuary survives today as one of the last strongholds of true magic. Enchanting? Absolutely. Exciting? You bet. Safe? Well, actually, quite the opposite.Kendra and her brother, Seth, have no idea that their grandfather is the current c",351
"['Classics', 'Fiction']",A Connecticut Yankee in King Arthur's Court,['Mark Twain'],3.76,101411,"One of the greatest satires in American literature, Mark Twain's 'A Connecticut Yankee in King Arthur's Court' begins when Hank Morgan, a skilled mechanic in a nineteenth-century New England arms factory, is struck on the head during a quarrel and awakens to find himself among the knights and magicians of King Arthur's Camelot. The 'Yankee' vows brashly to ""boss the whole",480
"['Fantasy', 'Young Adult']",A Darker Shade of Magic,['V.E. Schwab'],4.06,255314,"Kell is one of the last Antari—magicians with a rare, coveted ability to travel between parallel Londons; Red, Grey, White, and, once upon a time, Black.Kell was raised in Arnes—Red London—and officially serves the Maresh Empire as an ambassador, traveling between the frequent bloody regime changes in White London and the court of George III in the dullest of Londons, the",400
"['Fantasy', 'Fiction']",The Well of Ascension,['Brandon Sanderson'],4.35,334097,"The impossible has been accomplished. The Lord Ruler—the man who claimed to be god incarnate and brutally ruled the world for a thousand years—has been vanquished. But Kelsier, the hero who masterminded that triumph, is dead too, and now the awesome task of building a new world has been left to his young protégé, Vin, the former street urchin who is now the most powerful M",796
"['Fiction', 'Classics']",Factotum,['Charles Bukowski'],3.94,69253,"One of Bukowski's best, this beer-soaked, deliciously degenerate novel follows the wanderings of aspiring writer Henry Chinaski across World War II-era America. Deferred from military service, Chinaski travels from city to city, moving listlessly from one odd job to another, always needing money but never badly enough to keep a job. His day-to-day existence spirals into an",208
"['Historical', 'Historical Fiction']",The Agony and the Ecstasy,['Irving Stone'],4.05,86939,"Celebrating the 500th anniversary of Michelangelo’s David, New American Library releases a special edition of Irving Stone’s classic biographical novel—in which both the artist and the man are brought to life in full. A masterpiece in its own right, this novel offers a compelling portrait of Michelangelo’s dangerous, impassioned loves, and the God-driven fury from which he",776
"['Fantasy', 'Young Adult']",The Assassin's Blade,['Sarah J. Maas'],4.34,187081,"Contains all five novellas.Celaena Sardothien is Adarlan's most feared assassin. As part of the Assassin's Guild, her allegiance is to her master, Arobynn Hamel, yet Celaena listens to no one and trusts only her fellow killer-for-hire, Sam. In these action-packed novellas - together in one edition for the first time - Celaena embarks on five daring missions. They take her",448
"['Classics', 'Fiction']",How Green Was My Valley,['Richard Llewellyn'],4.19,15504,"A poignant coming-of-age novel set in a Welsh mining town, Richard Llewellyn's How Green Was My Valley is a paean to a more innocent age, published in Penguin Modern ClassicsGrowing up in a mining community in rural South Wales, Huw Morgan is taught many harsh lessons - at the kitchen table, at Chapel and around the pit-head. Looking back on the hardships of his early life",448
"['Fantasy', 'Young Adult']",Beauty: A Retelling of the Story of Beauty and the Beast,['Robin McKinley'],4.05,76824,"A strange imprisonment...Beauty has never liked her nickname. She is thin and awkward; it is her two sisters who are the beautiful ones. But what she lacks in looks, she can perhaps make up for in courage.When her father comes home with the tale of an enchanted castle in the forest and the terrible promise he had to make to the Beast who lives there, Beauty knows she must",256
"['Fantasy', 'Fiction']",The Drawing of the Three,['Stephen King'],4.21,235009,"While pursuing his quest for the Dark Tower through a world that is a nightmarishly distorted mirror image of our own, Roland, the last gunslinger, encounters three mysterious doorways on the beach. Each one enters into the life of a different person living in contemporary New York. Here he links forces with the defiant young Eddie Dean and the beautiful, brilliant, and br",463
"['Fiction', 'Thriller']",The Runaway Jury,['John Grisham'],3.99,293466,"Every jury has a leader, and the verdict belongs to him. In Biloxi, Mississippi, a landmark tobacco trial with hundreds of millions of dollars at stake begins routinely, then swerves mysteriously off course. The jury is behaving strangely, and at least one juror is convinced he's being watched. Soon they have to be sequestered. Then a tip from an anonymous young woman sugg",464
"['Fantasy', 'Urban Fantasy']",Bitten,['Kelley Armstrong'],4.00,102016,"Elena Michaels is the world’s only female werewolf. And she’s tired of it. Tired of a life spent hiding and protecting, a life where her most important job is hunting down rogue werewolves. Tired of a world that not only accepts the worst in her–her temper, her violence–but requires it. Worst of all, she realizes she’s growing content with that life, with being that person",436
"['Fiction', 'Thriller']",Lunar Park,['Bret Easton Ellis'],3.67,35976,"Bret Ellis, the narrator of Lunar Park, is a writer whose first novel Less Than Zero catapulted him to international stardom while he was still in college. In the years that followed, he found himself adrift in a world of wealth, drugs, and fame, as well as dealing with the unexpected death of his abusive father. After a decade of decadence, a chance for salvation arrives;",404
"['Fantasy', 'Fiction']",Wizard and Glass,"['Stephen King', 'Dave McKean', '(Illustrator)']",4.22,181270,"Roland, Eddie, Susannah, Jake, and Jake’s pet bumbler survive Blaine the Mono’s final crash, only to find themselves stranded in an alternate version of Topeka, Kansas, one that has been ravaged by the superflu virus. While following the deserted I-70 toward a distant glass palace, they hear the atonal squalling of a thinny, a place where the fabric of existence has almost",845
"['Fiction', 'Science Fiction']",We,"['Yevgeny Zamyatin', 'Clarence Brown', '(Translator, Introduction)']",3.91,82773,"The exhilarating dystopian novel that inspired George Orwell's 1984 and foreshadowed the worst excesses of Soviet RussiaYevgeny Zamyatin's We is a powerfully inventive vision that has influenced writers from George Orwell to Ayn Rand. In a glass-enclosed city of absolute straight lines, ruled over by the all-powerful 'Benefactor', the citizens of the totalitarian society o",226
